Account,date,daily_pnl,trade_count,avg_trade_size,sentiment_value,sentiment_class,win_rate,buy_sell_ratio
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2024-12-14,0.0,1,24979.8,83.0,Extreme Greed,0.0,inf
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2024-12-19,7440.638,89,5090.3906,75.0,Extreme Greed,0.4044943820224719,1.4722222222222223
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2024-12-20,53635.53,238,9628.824,74.0,Greed,0.41596638655462187,1.18348623853211
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2024-12-27,357.3467,18,7190.5835,74.0,Greed,0.5,1.0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2024-12-30,2227.1865,38,6536.572,65.0,Greed,0.6578947368421053,0.52
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-01-08,0.0,139,5040.0747,70.0,Greed,0.0,inf
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-01-09,35352.953,96,7755.2437,69.0,Greed,0.5833333333333334,0.7142857142857143
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-01-10,2812.7686,27,4195.8413,50.0,Neutral,1.0,0.0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-01-12,927.41266,390,830.1822,62.0,Greed,1.0,0.0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-01-13,0.0,23,6845.16,61.0,Greed,0.0,inf
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-01-16,13963.5205,4,42850.55,75.0,Extreme Greed,1.0,0.0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-01-19,1519.7698,30,3916.7593,77.0,Extreme Greed,0.6666666666666666,0.5
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-01-20,-2427.8738,43,2596.647,76.0,Extreme Greed,0.0,0.19444444444444445
